연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
206,,,,,,,,,20132,"합성염료, 유연제 및 기타착색제 제조업"
207,,,,,202,비료 및 질소화합물 제조업,2020,비료 및 질소화합물 제조업,20201,"질소, 인산 및 칼리질 비료 제조업"
208,,,,,,,,,20202,복합비료 제조업
209,,,,,,,,,20209,기타 비료 및 질소화합물 제조업
210,,,,,203,합성고무 및 플라스틱 물질 제조업,2030,합성고무 및 플라스틱 물질 제조업,20301,합성고무 제조업
211,,,,,,,,,20302,합성수지 및 기타 플라스틱물질 제조업
212,,,,,,,,,20303,가공 및 재생 플라스틱원료 생산업
213,,,,,204,기타 화학제품 제조업,2041,살충제 및 기타농약 제조업,20411,가정용 살균 및 살충제 제조업
214,,,,,,,,,20412,농약 제조업
215,,,,,,,2042,"잉크, 페인트, 코팅제 및 유사제품 제조업",20421,일반용 도료 및 관련제품 제조업
216,,,,,,,,,20422,요업용 유약 및 관련제품 제조업
217,,,,,,,,,20423,인쇄잉크 제조업
218,,,,,,,,,20424,회화용 물감 제조업
219,,,,,,,2043,"세제, 화장품 및 광택제 제조업",20431,계면활성제 제조업
220,,,,,,,,,20432,"치약, 비누 및 기타 세제 제조업"
221,,,,,,,,,20433,화장품 제조업
222,,,,,,,,,20434,표면광택제 및 실내가향제 제조업
223,,,,,,,2049,그외 기타 화학제품 제조업,20491,사진용 화학제품 및 감광재료 제조업
224,,,,,,,,,20492,가공 및 정제염 제조업
225,,,,,,,,,20493,접착제 및 젤라틴 제조업
226,,,,,,,,,20494,화약 및 불꽃제품 제조업
227,,,,,,,,,20499,그외 기타 분류안된 화학제품 제조업
228,,,,,205,화학섬유 제조업,2050,화학섬유 제조업,20501,합성섬유 제조업
229,,,,,,,,,20502,재생섬유 제조업
230,,,21,의료용 물질 및 의약품 제조업,211,기초 의약물질 및 생물학적 제제 제조업,2110,기초 의약물질 및 생물학적 제제 제조업,21101,의약용 화합물 및 항생물질 제조업
231,,,,,,,,,21102,생물학적 제제 제조업
232,,,,,212,의약품 제조업,2121,완제 의약품 제조업,21210,완제 의약품 제조업
233,,,,,,,2122,한의약품 제조업,21220,한의약품 제조업
234,,,,,,,2123,동물용 의약품 제조업,21230,동물용 의약품 제조업
235,,,,,213,의료용품 및 기타 의약관련제품 제조업,2130,의료용품 및 기타 의약관련제품 제조업,21300,의료용품 및 기타 의약관련제품 제조업
236,,,22,고무제품 및 플라스틱제품 제조업,221,고무제품 제조업,2211,고무 타이어 및 튜브 생산업,22111,타이어 및 튜브 제조업
237,,,,,,,,,22112,타이어 재생업
238,,,,,,,2219,기타 고무제품 제조업,22191,산업용 비경화고무제품 제조업
239,,,,,,,,,22192,고무의류 및 기타 위생용 고무제품 제조업
240,,,,,,,,,22199,그외 기타 고무제품 제조업
241,,,,,222,플라스틱제품 제조업,2221,1차 플라스틱제품 제조업,22211,"플라스틱 선, 봉, 관 및 호스 제조업"
242,,,,,,,,,22212,"플라스틱 필름, 시트 및 판 제조업"
243,,,,,,,,,22213,플라스틱 합성피혁 제조업
244,,,,,,,2222,건축용 플라스틱제품 제조업,22221,벽 및 바닥 피복용 플라스틱제품 제조업
245,,,,,,,,,22222,저장용 및 위생용 플라스틱제품 제조업
246,,,,,,,,,22223,플라스틱 창호 제조업
247,,,,,,,,,22229,기타 건축용 플라스틱 조립제품 제조업
248,,,,,,,2223,포장용 플라스틱제품 제조업,22231,"플라스틱 포대, 봉투 및 유사제품 제조업"
249,,,,,,,,,22232,포장용 플라스틱 성형용기 제조업
250,,,,,,,2224,기계장비 조립용 플라스틱제품 제조업,22240,기계장비 조립용 플라스틱제품 제조업
251,,,,,,,2225,플라스틱 발포 성형제품 제조업,22250,플라스틱 발포 성형제품 제조업
252,,,,,,,2229,기타 플라스틱제품 제조업,22291,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
253,,,,,,,,,22299,그외 기타 플라스틱 제품 제조업
254,,,23,비금속 광물제품 제조업,231,유리 및 유리제품 제조업,2311,판유리 제조업,23110,판유리 제조업
255,,,,,,,2312,산업용 유리 및 판유리 가공품 제조업,23121,유리섬유 및 광학용 유리 제조업
256,,,,,,,,,23122,판유리 가공품 제조업
257,,,,,,,,,23129,기타 산업용 유리제품 제조업
258,,,,,,,2319,기타 유리제품 제조업,23191,가정용 유리제품 제조업
259,,,,,,,,,23192,포장용 유리용기 제조업
260,,,,,,,,,23199,그외 기타 유리제품 제조업
261,,,,,232,도자기 및 기타 요업제품 제조업,2321,일반도자기 제조업,23211,가정용 및 장식용 도자기 제조업
262,,,,,,,,,23212,위생용 도자기 제조업
263,,,,,,,,,23213,산업용 도자기 제조업
264,,,,,,,,,23219,기타 일반 도자기 제조업
265,,,,,,,2322,내화 요업제품 제조업,23221,구조용 정형내화제품 제조업
266,,,,,,,,,23229,기타 내화요업제품 제조업
267,,,,,,,2323,구조용 비내화 요업제품 제조업,23231,"점토벽돌, 블록 및 유사 비내화 요업제품 제조업"
268,,,,,,,,,23232,타일 및 유사 비내화 요업제품 제조업
269,,,,,,,,,23239,기타 구조용 비내화 요업제품 제조업
270,,,,,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",2331,"시멘트, 석회 및 플라스터 제조업",23311,시멘트 제조업
271,,,,,,,,,23312,석회 및 플라스터 제조업
272,,,,,,,2332,"콘크리트, 시멘트 및 플라스터 제품 제조업",23321,비내화 모르타르 제조업
273,,,,,,,,,23322,레미콘 제조업
274,,,,,,,,,23323,플라스터 제품 제조업
275,,,,,,,,,23324,섬유시멘트 제품 제조업
276,,,,,,,,,23325,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
277,,,,,,,,,23326,콘크리트관 및 기타 구조용 콘크리트제품 제조업
278,,,,,,,,,23329,그외 기타 콘크리트 제품 및 유사제품 제조업
279,,,,,239,기타 비금속 광물제품 제조업,2391,석제품 제조업,23911,건설용 석제품 제조업
280,,,,,,,,,23919,기타 석제품 제조업
281,,,,,,,2399,그외 기타 비금속 광물제품 제조업,23991,아스콘 제조업
282,,,,,,,,,23992,연마재 제조업
283,,,,,,,,,23993,비금속광물 분쇄물 생산업
284,,,,,,,,,23994,"석면, 암면 및 유사제품 제조업"
285,,,,,,,,,23999,그외 기타 분류안된 비금속 광물제품 제조업
286,,,24,1차 금속 제조업,241,1차 철강 제조업,2411,"제철, 제강 및 합금철 제조업",24111,제철업
287,,,,,,,,,24112,제강업
288,,,,,,,,,24113,합금철 제조업
289,,,,,,,,,24119,기타 제철 및 제강업
290,,,,,,,2412,"철강 압연, 압출 및 연신제품 제조업",24121,열간 압연 및 압출 제품 제조업
291,,,,,,,,,24122,냉간 압연 및 압출 제품 제조업
292,,,,,,,,,24123,철강선 제조업
293,,,,,,,2413,철강관 제조업,24131,주철관 제조업
294,,,,,,,,,24132,강관 제조업
